bpm,internal_ts,watch_timestamp
0.000000,19739900000000,2025-04-23 16:35:52.411
0.000000,19740899000000,2025-04-23 16:35:53.418
0.000000,19741898000000,2025-04-23 16:35:54.419
0.000000,19742897000000,2025-04-23 16:35:55.409
0.000000,19743897000000,2025-04-23 16:35:56.406
0.000000,19744896000000,2025-04-23 16:35:57.417
0.000000,19747893000000,2025-04-23 16:36:00.440
0.000000,19748892000000,2025-04-23 16:36:01.405
0.000000,19749890000000,2025-04-23 16:36:02.424
0.000000,19750889000000,2025-04-23 16:36:03.431
0.000000,19751888000000,2025-04-23 16:36:04.413
0.000000,19752888000000,2025-04-23 16:36:05.435
0.000000,19753887000000,2025-04-23 16:36:06.433
0.000000,19754886000000,2025-04-23 16:36:07.406
0.000000,19755884000000,2025-04-23 16:36:08.418
0.000000,19756883000000,2025-04-23 16:36:09.425
0.000000,19757882000000,2025-04-23 16:36:10.402
0.000000,19758880000000,2025-04-23 16:36:11.410
0.000000,19759879000000,2025-04-23 16:36:12.413
0.000000,19760879000000,2025-04-23 16:36:13.391
0.000000,19761878000000,2025-04-23 16:36:14.400
0.000000,19762877000000,2025-04-23 16:36:15.423
0.000000,19763875000000,2025-04-23 16:36:16.389
0.000000,19764874000000,2025-04-23 16:36:17.407
0.000000,19765873000000,2025-04-23 16:36:18.417
0.000000,19766872000000,2025-04-23 16:36:19.389
0.000000,19767871000000,2025-04-23 16:36:20.393
0.000000,19768870000000,2025-04-23 16:36:21.407
0.000000,19769869000000,2025-04-23 16:36:22.382
0.000000,19770867000000,2025-04-23 16:36:23.391
