bpm,internal_ts,watch_timestamp
0.000000,22632009000000,2025-04-23 17:24:04.536
0.000000,22633008000000,2025-04-23 17:24:05.533
0.000000,22634007000000,2025-04-23 17:24:06.523
0.000000,22635005000000,2025-04-23 17:24:07.535
0.000000,22636003000000,2025-04-23 17:24:08.525
0.000000,22637002000000,2025-04-23 17:24:09.517
0.000000,22638000000000,2025-04-23 17:24:10.527
0.000000,22638999000000,2025-04-23 17:24:11.525
0.000000,22639998000000,2025-04-23 17:24:12.514
0.000000,22640997000000,2025-04-23 17:24:13.528
0.000000,22641995000000,2025-04-23 17:24:14.525
0.000000,22642993000000,2025-04-23 17:24:15.509
0.000000,22643992000000,2025-04-23 17:24:16.524
0.000000,22644990000000,2025-04-23 17:24:17.511
0.000000,22645989000000,2025-04-23 17:24:18.501
0.000000,22646987000000,2025-04-23 17:24:19.513
0.000000,22647986000000,2025-04-23 17:24:20.525
0.000000,22648983000000,2025-04-23 17:24:21.498
0.000000,22649981000000,2025-04-23 17:24:22.508
0.000000,22650979000000,2025-04-23 17:24:23.503
0.000000,22651977000000,2025-04-23 17:24:24.493
0.000000,22652975000000,2025-04-23 17:24:25.502
0.000000,22653973000000,2025-04-23 17:24:26.507
0.000000,22654971000000,2025-04-23 17:24:27.486
0.000000,22655970000000,2025-04-23 17:24:28.500
0.000000,22656968000000,2025-04-23 17:24:29.487
