bpm,internal_ts,watch_timestamp
0.000000,18155602000000,2025-04-23 16:09:28.118
0.000000,18156601000000,2025-04-23 16:09:29.137
0.000000,18157600000000,2025-04-23 16:09:30.136
0.000000,18158600000000,2025-04-23 16:09:31.115
0.000000,18159599000000,2025-04-23 16:09:32.127
0.000000,18160597000000,2025-04-23 16:09:33.125
0.000000,18165593000000,2025-04-23 16:09:38.119
0.000000,18166592000000,2025-04-23 16:09:39.117
0.000000,18167590000000,2025-04-23 16:09:40.107
0.000000,18168590000000,2025-04-23 16:09:41.118
0.000000,18169589000000,2025-04-23 16:09:42.103
0.000000,18170588000000,2025-04-23 16:09:43.103
0.000000,18171586000000,2025-04-23 16:09:44.130
0.000000,18172585000000,2025-04-23 16:09:45.113
0.000000,18177581000000,2025-04-23 16:09:50.107
0.000000,18178581000000,2025-04-23 16:09:51.113
0.000000,18179580000000,2025-04-23 16:09:52.096
0.000000,18180579000000,2025-04-23 16:09:53.111
0.000000,18181580000000,2025-04-23 16:09:54.106
0.000000,18182579000000,2025-04-23 16:09:55.094
0.000000,18185577000000,2025-04-23 16:09:58.091
0.000000,18186576000000,2025-04-23 16:09:59.102
0.000000,18187575000000,2025-04-23 16:10:00.102
0.000000,18188574000000,2025-04-23 16:10:01.089
0.000000,18189572000000,2025-04-23 16:10:02.102
0.000000,18190572000000,2025-04-23 16:10:03.096
0.000000,18191571000000,2025-04-23 16:10:04.085
0.000000,18192571000000,2025-04-23 16:10:05.100
0.000000,18193569000000,2025-04-23 16:10:06.093
0.000000,18194568000000,2025-04-23 16:10:07.082
