bpm,internal_ts,watch_timestamp
0.000000,20519292000000,2025-04-23 16:48:51.829
0.000000,20520291000000,2025-04-23 16:48:52.806
0.000000,20521291000000,2025-04-23 16:48:53.809
0.000000,20522290000000,2025-04-23 16:48:54.829
0.000000,20523290000000,2025-04-23 16:48:55.804
0.000000,20524290000000,2025-04-23 16:48:56.822
0.000000,20525289000000,2025-04-23 16:48:57.799
0.000000,20526289000000,2025-04-23 16:48:58.804
0.000000,20527288000000,2025-04-23 16:48:59.808
0.000000,20528287000000,2025-04-23 16:49:00.820
0.000000,20529287000000,2025-04-23 16:49:01.801
0.000000,20530286000000,2025-04-23 16:49:02.808
0.000000,20531285000000,2025-04-23 16:49:03.819
0.000000,20532285000000,2025-04-23 16:49:04.798
0.000000,20533284000000,2025-04-23 16:49:05.805
0.000000,20534283000000,2025-04-23 16:49:06.826
0.000000,20535282000000,2025-04-23 16:49:07.796
0.000000,20536282000000,2025-04-23 16:49:08.805
0.000000,20537281000000,2025-04-23 16:49:09.821
0.000000,20538280000000,2025-04-23 16:49:10.794
0.000000,20539279000000,2025-04-23 16:49:11.796
0.000000,20540278000000,2025-04-23 16:49:12.809
0.000000,20541277000000,2025-04-23 16:49:13.790
0.000000,20542276000000,2025-04-23 16:49:14.794
0.000000,20543275000000,2025-04-23 16:49:15.805
0.000000,20544274000000,2025-04-23 16:49:16.787
0.000000,20545273000000,2025-04-23 16:49:17.790
0.000000,20546271000000,2025-04-23 16:49:18.803
0.000000,20549268000000,2025-04-23 16:49:21.806
0.000000,20550266000000,2025-04-23 16:49:22.780
0.000000,20551265000000,2025-04-23 16:49:23.784
0.000000,20552264000000,2025-04-23 16:49:24.801
0.000000,20553263000000,2025-04-23 16:49:25.776
0.000000,20554262000000,2025-04-23 16:49:26.787
0.000000,20555261000000,2025-04-23 16:49:27.795
0.000000,20556259000000,2025-04-23 16:49:28.773
0.000000,20557258000000,2025-04-23 16:49:29.774
0.000000,20558257000000,2025-04-23 16:49:30.782
0.000000,20559256000000,2025-04-23 16:49:31.770
0.000000,20560255000000,2025-04-23 16:49:32.774
0.000000,20561253000000,2025-04-23 16:49:33.782
0.000000,20562253000000,2025-04-23 16:49:34.767
0.000000,20563252000000,2025-04-23 16:49:35.774
0.000000,20564251000000,2025-04-23 16:49:36.785
0.000000,20565251000000,2025-04-23 16:49:37.765
0.000000,20566250000000,2025-04-23 16:49:38.767
0.000000,20567249000000,2025-04-23 16:49:39.782
0.000000,20568248000000,2025-04-23 16:49:40.763
0.000000,20569248000000,2025-04-23 16:49:41.766
0.000000,20570247000000,2025-04-23 16:49:42.778
0.000000,20571246000000,2025-04-23 16:49:43.760
0.000000,20572246000000,2025-04-23 16:49:44.769
0.000000,20573245000000,2025-04-23 16:49:45.784
0.000000,20574244000000,2025-04-23 16:49:46.758
0.000000,20575243000000,2025-04-23 16:49:47.768
0.000000,20576243000000,2025-04-23 16:49:48.781
0.000000,20577242000000,2025-04-23 16:49:49.760
0.000000,20578241000000,2025-04-23 16:49:50.758
0.000000,20579240000000,2025-04-23 16:49:51.779
0.000000,20580239000000,2025-04-23 16:49:52.753
0.000000,20581238000000,2025-04-23 16:49:53.759
0.000000,20582237000000,2025-04-23 16:49:54.776
0.000000,20583236000000,2025-04-23 16:49:55.749
0.000000,20584234000000,2025-04-23 16:49:56.750
0.000000,20585233000000,2025-04-23 16:49:57.766
0.000000,20586231000000,2025-04-23 16:49:58.744
0.000000,20587229000000,2025-04-23 16:49:59.745
0.000000,20588228000000,2025-04-23 16:50:00.770
